atomic_number,element_name,atomic_symbol,group_number,period,atomic_mass_rounded,melting_point_C,boiling_point_C,state_at_RT,density_g_per_mL,electronegativity_pauling,first_ionization_poten_eV,second_ionization_poten_eV,third_ionization_poten_eV,electron_affinity_eV,atomic_radius_ang,ionic_radius_ang,covalent_radius_ang,atomic_volume_cm3_per_mol,crystal_structure,electrical_conductivity_mho_per_cm,specific_heat_J_per_g_K,heat_of_fusion_kJ_per_mol,heat_of_vaporization_kJ_per_mol,thermal_conductivity_W_per_m_K,mg_per_kg_in_Earths_crust,mg_per_L_in_seawater,percent_human_body_mass,Notes,color,structure,hardness_mohs,hydride,oxide,chloride,polarizability_A_cubed,heat_atomization_kJ_per_mol,year_discovered,rel_abund_solar_system_log,abundance_earths_crust_log,cost_pure_dollar_per_100g
1,hydrogen,H,1,1,1.008,-259.1,-252.9,g,0.0000699,2.2,13.5984, ,,0.75,0.79,1.54,0.32,14.4,hexagonal,,14.304,0.05868,0.44936,0.1815,1400,108000,10,,colorless,hcp: hexagonal close pkd,,H2,H2O,HCl,0.7,218,1766,10.446,3.1,12
2,helium,He,18,1,4.003,-272.2,-268.9,g,0.000179,,24.5874,54.416,,,0.49,,0.93,19.5,hexagonal,,5.193,,0.0845,0.152,0.008,7.00E-16,,,colorless,,,none,none,none,0.198,0,1895,9.435,-2.1,5.2
3,lithium,Li,1,2,6.968,180.5,1342,s,0.543,0.98,5.3917,76.638,122.451,0.62,2.05,0.76,1.23,13.1,cubic: body centered,0.108,3.6,3,145.92,84.7,20,0.18,,,silvery,bcc: body-centered cubic,0.6,LiH,Li2O,LiCl,24.3,161,1817,1.757,1.3,27
4,beryllium,Be,2,2,9.012,1278,2970,s,1.85,1.57,9.3226,18.211,153.893,,1.4,0.45,0.9,5,hexagonal,0.313,1.82,12.2,292.4,200,2.8,0.0000056,,,steel gray,hcp: hexagonal close pkd,,BeH2,BeO,BeCl2,5.6,324,1797,-0.137,0.4,530
5,boron,B,13,2,10.81,2079,2550,s,2.34,2.04,8.298,25.154,37.93,0.28,1.17,0.23,0.82,4.6,rhombohedral,1.00E-12,1.02,50.2,489.7,27,10,4.44,0.00007,sublimes,black,special: B12 icosahedra,9.5,B2H6 and many BxHy,B2O3,BCl3 and many BxCly,3,573,1808,1.326,1,250
6,carbon,C,14,2,12.01,3367,4827,s,2.25,2.55,11.2603,24.383,47.887,1.26,0.91,0.16,0.77,4.58,hexagonal,0.00061,0.71,,355.8,129,200,28,23,graphite,black,hexagonal layers,0.8,CH4 and many CxHy,CO CO2,CCl4,1.8,717,,7.004,2.3,2.4
7,nitrogen,N,15,2,14.01,-209.9,-195.8,g,0.00125,3.04,14.5341,29.601,47.448,,0.75,1.71,0.75,17.3,hexagonal,,1.04,0.3604,2.7928,0.02598,19,50,2.6,,colorless,,,NH3 N2H4 HN3,N2O NO NO2 N2O5,NCl3,1.1,473,1772,6.496,1.3,0.4
8,oxygen,O,16,2,16,-218.4,-183,g,0.00143,3.44,13.6181,35.117,54.934,1.46,0.65,1.4,0.73,14,cubic,,0.92,0.22259,3.4099,0.02674,461000,857000,61,,colorless,,,H2O,O2 O3,Cl2O ClO2 Cl2O7,0.793,249,1774,7.377,5.7,0.3
9,fluorine,F,17,2,19,-219.8,-188.1,g,0.0017,3.98,17.4228,34.97,62.707,3.4,0.57,1.33,0.72,12.6,cubic,,0.82,0.2552,3.2698,0.0279,585,1.3,0.0033,,colorless,layers of F2,,HF,OF2,ClF ClF3 ClF5,0.634,79,1886,2.926,2.8,190
10,neon,Ne,18,2,20.18,-248,-248.7,g,0.0009,,21.5645,40.962,63.45,,0.51,,0.71,17.3,cubic: face centered,,0.904,0.3317,1.7326,0.0493,0.005,0.00012,,,colorless,fcc: face-centered cubic,,none,none,none,0.396,0,1898,6.537,-2.3,33
11,sodium,Na,1,3,22.99,97.8,883,s,0.971,0.93,5.1391,47.286,71.641,0.55,2.23,1.02,1.54,23.7,cubic: body centered,0.21,1.23,2.598,96.96,141,0.000236,10800,0.14,,silvery,bcc: body-centered cubic,0.4,NaH,Na2O,NaCl,23.6,109,1807,4.759,4.4,7
12,magnesium,Mg,2,3,24.31,649,1090,s,1.74,1.31,7.6462,15.035,80.143,,1.72,0.72,1.36,13.97,hexagonal,0.226,1.02,8.954,127.4,156,23300,1290,0.027,,silvery,hcp: hexagonal close pkd,2,MgH2,MgO,MgCl2,10.6,148,1808,6.031,4.4,3.7
13,aluminum,Al,13,3,26.98,660,2467,s,2.7,1.61,5.9858,18.828,28.447,0.44,1.82,0.54,1.18,10,cubic: face centered,0.377,0.9,10.79,293.4,237,82300,0.002,0.00009,,silvery,fcc: face-centered cubic,2.8,AlH3,Al2O3,AlCl3Al2Cl6,8.3,326,1825,4.929,4.9,1.8
14,silicon,Si,14,3,28.09,1410,2355,s,2.33,1.9,8.1517,16.345,33.492,1.39,1.46,0.26,1.11,12.1,cubic: face centered,2.52E-12,0.71,50.55,384.22,148,282000,2.2,0.026,,gray-black,diamond ,7,SiH4 Si2H6 + more,SiO2,SiCl4 Si2Cl6 + more,5.4,452,1824,6,5.5,5.4
15,phosphorus,P,15,3,30.97,44.1,280,s,1.82,2.19,10.4867,19.725,30.18,0.75,1.23,0.17,1.06,17,monoclinic,1.00E-17,0.77,0.657,12.129,0.235,1050,0.06,1.1,white,white-yellow,special: P4 tetrahedra,0.5,PH3 P2H4 + more,P4O10 P4O6,PCl3 PCl5 P2Cl4,3.6,315,1669,4.017,3,4
16,sulfur,S,16,3,32.07,112.8,444.7,s,2.07,2.58,10.36,23.33,34.83,2.08,1.09,0.29,1.02,15.5,orthorhombic,5.00E-24,0.71,1.7175,,0.269,350,905,0.2,yellow,yellow(pale),S8 rings,2,H2S,SO2 SO3,S2Cl2 SCl2,2.9,279,,5.712,2.4,24
